Frame,timestep,Id,Location_x,Location_y,Location_z,Rotation_x,Rotation_y,Rotation_z
148,7.35,197,39632.2,15683.7,3.29567,39632.2,15683.7,3.29567
148,7.35,204,39635.0,3492.03,0.183159,39635.0,3492.03,0.183159
149,7.4,197,39632.2,15644.0,3.28114,39632.2,15644.0,3.28114
149,7.4,204,39635.0,3436.16,0.183372,39635.0,3436.16,0.183372
150,7.45,197,39632.2,15603.7,3.28789,39632.2,15603.7,3.28789
150,7.45,204,39635.1,3380.32,0.183716,39635.1,3380.32,0.183716
151,7.5,197,39632.1,15563.3,3.30441,39632.1,15563.3,3.30441
151,7.5,204,39635.2,3324.49,0.184002,39635.2,3324.49,0.184002
152,7.55,197,39632.1,15522.8,3.3227,39632.1,15522.8,3.3227
152,7.55,204,39635.3,3268.71,0.184345,39635.3,3268.71,0.184345
153,7.6,197,39632.1,15482.4,3.34147,39632.1,15482.4,3.34147
153,7.6,204,39635.3,3212.96,0.184566,39635.3,3212.96,0.184566
154,7.65,197,39632.1,15442.2,3.35745,39632.1,15442.2,3.35745
154,7.65,204,39635.4,3157.26,0.184837,39635.4,3157.26,0.184837
155,7.7,197,39632.0,15402.2,3.37201,39632.0,15402.2,3.37201
155,7.7,204,39635.4,3101.59,0.184933,39635.4,3101.59,0.184933
156,7.75,197,39632.0,15362.5,3.38298,39632.0,15362.5,3.38298
156,7.75,204,39635.5,3045.96,0.185055,39635.5,3045.96,0.185055
157,7.8,197,39632.0,15323.0,3.3922,39632.0,15323.0,3.3922
157,7.8,204,39635.6,2990.34,0.185009,39635.6,2990.34,0.185009
158,7.85,197,39631.9,15283.8,3.39762,39631.9,15283.8,3.39762
158,7.85,204,39635.7,2934.75,0.184975,39635.7,2934.75,0.184975
159,7.9,197,39631.9,15244.8,3.40121,39631.9,15244.8,3.40121
159,7.9,204,39635.7,2879.15,0.184803,39635.7,2879.15,0.184803
160,7.95,197,39631.9,15205.7,3.40041,39631.9,15205.7,3.40041
160,7.95,204,39635.8,2823.56,0.1847,39635.8,2823.56,0.1847
161,8,197,39631.9,15166.6,3.39795,39631.9,15166.6,3.39795
161,8,204,39635.9,2767.95,0.184467,39635.9,2767.95,0.184467
162,8.05,197,39631.9,15127.3,3.39262,39631.9,15127.3,3.39262
162,8.05,204,39635.9,2712.32,0.18433,39635.9,2712.32,0.18433
163,8.1,197,39631.8,15087.8,3.38745,39631.8,15087.8,3.38745
163,8.1,204,39636.0,2656.67,0.18412,39636.0,2656.67,0.18412
164,8.15,197,39631.8,15047.9,3.38102,39631.8,15047.9,3.38102
